"ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","weekly","weekly_lower","weekly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
2023-06-07,7286.11512824319,48.438813052648,48.438813052648,48.438813052648,48.438813052648,48.438813052648,48.438813052648,0,0,0,7184.82518880119,7472.20590835759,7286.11512824319,7286.11512824319,7334.55394129584
2023-06-08,7285.01410902735,54.6041802060136,54.6041802060136,54.6041802060136,54.6041802060136,54.6041802060136,54.6041802060136,0,0,0,7188.49285536822,7495.30916218031,7285.01410902735,7285.01410902735,7339.61828923336
2023-06-09,7283.91308981151,62.103102194866,62.103102194866,62.103102194866,62.103102194866,62.103102194866,62.103102194866,0,0,0,7185.01589221005,7501.74899711212,7283.91308981151,7283.91308981151,7346.01619200638
2023-06-12,7280.61003216399,63.5929803806261,63.5929803806261,63.5929803806261,63.5929803806261,63.5929803806261,63.5929803806261,0,0,0,7196.87263829495,7503.65034533688,7280.61003216399,7280.61003216399,7344.20301254462
2023-06-13,7279.50901294815,59.1254437442317,59.1254437442317,59.1254437442317,59.1254437442317,59.1254437442317,59.1254437442317,0,0,0,7195.61591682911,7481.14559468032,7279.50901294815,7279.50901294815,7338.63445669238
2023-06-14,7278.4079987287,48.4388130526476,48.4388130526476,48.4388130526476,48.4388130526476,48.4388130526476,48.4388130526476,0,0,0,7178.35986715367,7472.39211037197,7278.4079987287,7278.4079987287,7326.84681178134
2023-06-15,7277.30698450924,54.6041802060004,54.6041802060004,54.6041802060004,54.6041802060004,54.6041802060004,54.6041802060004,0,0,0,7189.96935875716,7479.77334545198,7277.30698450924,7277.30698450924,7331.91116471524
2023-06-16,7276.20597028978,62.1031021951741,62.1031021951741,62.1031021951741,62.1031021951741,62.1031021951741,62.1031021951741,0,0,0,7189.80757278289,7475.69392448336,7276.20597028978,7276.20597028978,7338.30907248496
2023-06-19,7272.90292763141,63.5929803807693,63.5929803807693,63.5929803807693,63.5929803807693,63.5929803807693,63.5929803807693,0,0,0,7177.35703361002,7488.05503957067,7272.90292763141,7272.90292763141,7336.49590801218
2023-06-20,7271.80191341195,59.1254437441655,59.1254437441655,59.1254437441655,59.1254437441655,59.1254437441655,59.1254437441655,0,0,0,7183.41838976105,7480.68410394054,7271.80191341195,7271.80191341195,7330.92735715612
