"Date","Ouverture","DayOfYear","Year"
2024-06-27,7619.1,179,"2024"
2024-06-28,7544.4,180,"2024"
2024-07-01,7673.48,183,"2024"
2024-07-02,7517.65,184,"2024"
2024-07-03,7579.64,185,"2024"
2024-07-04,7677.34,186,"2024"
2024-07-05,7720.54,187,"2024"
2024-07-08,7637.89,190,"2024"
2024-07-09,7595.97,191,"2024"
2024-07-10,7525.18,192,"2024"
2024-07-11,7613.09,193,"2024"
2024-07-12,7664.94,194,"2024"
2024-07-15,7682.34,197,"2024"
2024-07-16,7583.5,198,"2024"
2024-07-17,7556.13,199,"2024"
2024-07-18,7606.24,200,"2024"
2024-07-19,7606.24,201,"2024"
2024-07-22,7573.41,204,"2024"
2024-07-23,7628.02,205,"2024"
2024-07-24,7500.67,206,"2024"
2024-07-25,7416.7,207,"2024"
2024-07-26,7444.41,208,"2024"
2024-07-29,7547.45,211,"2024"
2024-07-30,7461.61,212,"2024"
2024-07-31,7565.1,213,"2024"
2024-08-01,7478.14,214,"2024"
2024-08-02,7330.6,215,"2024"
2024-08-05,7099.59,218,"2024"
2024-08-06,7160.07,219,"2024"
2024-08-07,7161.94,220,"2024"
2024-08-08,7223.01,221,"2024"
2024-08-09,7259.7,222,"2024"
2024-08-12,7296.84,225,"2024"
2024-08-13,7277.7,226,"2024"
2024-08-14,7330.16,227,"2024"
2024-08-15,7356.07,228,"2024"
2024-08-16,7442.3,229,"2024"
2024-08-19,7445.31,232,"2024"
2024-08-20,7518.7,233,"2024"
2024-08-21,7486.91,234,"2024"
2024-08-22,7527.96,235,"2024"
2024-08-23,7544.73,236,"2024"
2024-08-26,7578.02,239,"2024"
2024-08-27,7601.27,240,"2024"
2024-08-28,7587.47,241,"2024"
2024-08-29,7577.17,242,"2024"
2024-08-30,7645.53,243,"2024"
2024-09-02,7628.86,246,"2024"
2024-09-03,7659.81,247,"2024"
2024-09-04,7490.1,248,"2024"
2024-09-05,7464.28,249,"2024"
2024-09-06,7424.09,250,"2024"
2024-09-09,7376.72,253,"2024"
2024-09-10,7414.4,254,"2024"
2024-09-11,7419.04,255,"2024"
2024-09-12,7478.91,256,"2024"
2024-09-13,7441.56,257,"2024"
2024-09-16,7432.17,260,"2024"
2024-09-17,7485.14,261,"2024"
2024-09-18,7489.85,262,"2024"
2024-09-19,7557.04,263,"2024"
2024-09-20,7597.52,264,"2024"
2024-09-23,7499.92,267,"2024"
2024-09-24,7608.47,268,"2024"
2024-09-25,7549.26,269,"2024"
2024-09-26,7663.03,270,"2024"
2024-09-27,7762.45,271,"2024"
2024-09-30,7748.07,274,"2024"
2024-10-01,7623.33,275,"2024"
2024-10-02,7594.81,276,"2024"
2024-10-03,7555.23,277,"2024"
2024-10-04,7464.87,278,"2024"
2024-10-07,7571.97,281,"2024"
2024-10-08,7480.36,282,"2024"
2024-10-09,7527.03,283,"2024"
2024-10-10,7543.4,284,"2024"
2024-10-11,7530.88,285,"2024"
2024-10-14,7583.48,288,"2024"
2024-10-15,7595.06,289,"2024"
2024-10-16,7420.85,290,"2024"
2024-10-17,7510.13,291,"2024"
2024-10-18,7566.87,292,"2024"
2024-10-21,7579.08,295,"2024"
2024-10-22,7517.03,296,"2024"
2024-10-23,7493.25,297,"2024"
2024-10-24,7527.64,298,"2024"
2024-10-25,7489.87,299,"2024"
2024-10-28,7542.13,302,"2024"
2024-10-29,7593.86,303,"2024"
2024-10-30,7452.1,304,"2024"
2024-10-31,7384.1,305,"2024"
2024-11-01,7364.08,306,"2024"
2024-11-04,7386.32,309,"2024"
2024-11-05,7377.58,310,"2024"
2024-11-06,7444.37,311,"2024"
2024-11-07,7373.19,312,"2024"
2024-11-08,7440.12,313,"2024"
2024-11-11,7395.09,316,"2024"
2024-11-12,7346.72,317,"2024"
2024-11-13,7217.49,318,"2024"
2024-11-14,7247.92,319,"2024"
2024-11-15,7256.58,320,"2024"
2024-11-18,7274.4,323,"2024"
2024-11-19,7287.46,324,"2024"
2024-11-20,7272.73,325,"2024"
2024-11-21,7185.2,326,"2024"
2024-11-22,7250.64,327,"2024"
2024-11-25,7329.48,330,"2024"
2024-11-26,7201.65,331,"2024"
2024-11-27,7150.02,332,"2024"
2024-11-28,7170.91,333,"2024"
2024-11-29,7151.3,334,"2024"
2024-12-02,7147.37,337,"2024"
2024-12-03,7244.74,338,"2024"
2024-12-04,7261.72,339,"2024"
2024-12-05,7282.72,340,"2024"
2024-12-06,7334.27,341,"2024"
2024-12-09,7484.5,344,"2024"
2024-12-10,7458.29,345,"2024"
2024-12-11,7372.24,346,"2024"
2024-12-12,7454.71,347,"2024"
2024-12-13,7408.16,348,"2024"
2024-12-16,7382.24,351,"2024"
2024-12-17,7321.94,352,"2024"
2024-12-18,7379.33,353,"2024"
2024-12-19,7289.11,354,"2024"
2024-12-20,7244.15,355,"2024"
2024-12-23,7259.37,358,"2024"
2024-12-24,7296.69,359,"2024"
2024-12-25,7283.05,360,"2024"
2024-12-26,7290.65666666667,361,"2024"
2024-12-27,7289.54,362,"2024"
2024-12-30,7325.5,365,"2024"
2024-12-31,7289.79,366,"2024"
